SYMBOL,CURRENT PRICE,INDUSTRY,PE,FORWARD PE,EPS,PEG,EPS ESTIMATE,RECOMMENDATION
ASB,14.22,Finance,8.46,19.11,1.68,2.39,1.97,2.9
AC,35.46,Finance,NE,,-2.56,N/A,,
AIZ,106.28,Finance,18.78,11.70,5.66,.01,8.55,1.13
AIZP,106.75,Finance,,,,,,
AGO,24.87,Finance,8.52,,2.92,N/A,,1
ASFI,10.85,Finance,,,,N/A,,
ATH,33.32,Finance,17.91,7.94,1.86,1.41,6.94,1.77
AAME,1.955,Finance,NE,,-0.63,N/A,,
ACBI,12.31,Finance,6.19,16.31,1.99,1.38,1.2,2
AUB,22.89,Finance,11.33,14.36,2.02,.01,2.75,2.71
AUBAP,24.2,Finance,,,,,,
ATLC,12.7,Finance,,,,N/A,,
AFH,1.04,Finance,,,,.00,,3
AUBN,58.87,Finance,23.45,,2.51,N/A,,
AXS,43.3,Finance,NE,50.83,-0.02,.05,2.52,2.71
AX,21.02,Finance,7.25,7.41,2.90,.01,2.75,1.29
AXO,25.1861,Finance,,,,,,
BMRG,9.81,Finance,,,,N/A,,
BANC,10.91,Finance,NE,NE,-0.21,-4.28,0.79,2.67
BANF,39.75,Finance,10.54,13.36,3.77,.01,4.12,3
BANFP,27.4893,Finance,,,,,,
BBAR,3.72,Finance,1.38,2.02,2.70,.00,2.56,5
BBVA,3.38,Finance,169,15.50,0.02,.02,,3.14
BBD,4.1,Finance,7.42,10.35,0.55,3.59,0.71,1.88
BBDO,3.78,Finance,6.84,,0.55,N/A,,
BCH,18.45,Finance,10.85,14.19,1.70,1.64,1.56,2.67
BLX,11.85,Finance,5.64,,2.10,N/A,,
BSBR,5.75,Finance,5.99,8.60,0.96,3.93,1.05,2.7
BSAC,17.17,Finance,10.53,12.93,1.63,1.59,1.57,2.67
BSMX,3.77,Finance,4.6,7.58,0.82,6.17,0.82,4
SAN,2.37,Finance,7.9,9.64,0.30,.01,,3
CIB,27.4,Finance,8.56,12.21,3.20,1.36,3.86,2.5
BCTF,12.24,Finance,,,,N/A,,
BFC,63.85,Finance,16.33,18.91,3.91,.02,3.87,3
BAC,25.25,Finance,10.35,16.92,2.44,2.42,2.94,2.09
BOCH,7.29,Finance,9.72,10.43,0.75,.01,0.83,2.5
BOH,63.38,Finance,12.65,16,5.01,2,5.56,2.8
BMRC,31.44,Finance,12.68,15.27,2.48,.02,2.48,3
BMLP,36.065,Finance,,,,N/A,,
BMO,55.73,Finance,9.88,11.32,5.64,2.39,7.1,2.44
NTB,24.26,Finance,7.83,9.65,3.10,.01,3.69,2.2
BNS,42.05,Finance,9.24,11.09,4.55,2.06,5.37,2
BKSC,17.01,Finance,13.29,,1.28,N/A,,
BOTJ,10.25,Finance,8.33,,1.23,N/A,,
OZK,24.63,Finance,9.7,15.81,2.54,.02,3.3,2.5
BSVN,10.27,Finance,12.52,6.09,0.82,.01,1.96,2.33
BFIN,7.91,Finance,11.46,21.78,0.69,.02,1.03,3
BKU,20.78,Finance,9.62,22.75,2.16,8.43,3.13,2.21
BWFG,14.94,Finance,8.12,9.59,1.84,.01,2.31,2
BANR,38.07,Finance,10.26,13.83,3.71,.01,4.38,2
BHB,21.13,Finance,14.28,,1.48,N/A,,
BCS,5.65,Finance,9.26,15.32,0.61,.85,,1.5
BCML,13.19,Finance,10.47,8.37,1.26,.01,1.89,1
BBX,2.32,Finance,NE,NE,-0.13,.00,0.19,1
BCBP,8.99,Finance,8.9,15.03,1.01,.02,1.2,3
BFYT,18.5,Finance,NE,6.26,-1.31,.01,3.53,1.5
